,angle,transmission
0,-79.3033033033033,0.9517961504778816
1,-79.07176846516185,0.9496618996195425
2,-78.84023362702041,0.9474703773281902
3,-78.60869878887897,0.9452235532233447
4,-78.37716395073751,0.9429233969245254
5,-78.14562911259607,0.9405718780512534
6,-77.91409427445463,0.9381709662230479
7,-77.68255943631318,0.935722631059429
8,-77.45102459817174,0.9332288421799166
9,-77.21948976003029,0.9306915692040305
10,-76.98795492188884,0.928112781751291
11,-76.7564200837474,0.9254944494412182
12,-76.52488524560596,0.9228385418933316
13,-76.29335040746452,0.9201470287271514
14,-76.06181556932307,0.9174218795621975
15,-75.83028073118163,0.9146650038376901
16,-75.59874589304017,0.9118777564353295
17,-75.36721105489873,0.9090611931107064
18,-75.13567621675729,0.9062163667116788
19,-74.90414137861585,0.903344330086105
20,-74.6726065404744,0.9004461360818432
21,-74.44107170233295,0.8975228375467509
22,-74.2095368641915,0.8945754873286866
23,-73.97800202605006,0.8916051382755084
24,-73.74646718790862,0.8886128432350742
25,-73.51493234976718,0.885599655055242
26,-73.28339751162574,0.8825666265838703
27,-73.0518626734843,0.8795148106688166
28,-72.82032783534284,0.8764452601579391
29,-72.5887929972014,0.8733590278990963
30,-72.35725815905995,0.870257166740146
31,-72.12572332091851,0.8671407295289464
32,-71.89418848277707,0.8640107468766375
33,-71.66265364463561,0.8608676177318306
34,-71.43111880649417,0.8577110343560322
35,-71.19958396835273,0.8545406517098411
36,-70.96804913021128,0.851356124753857
37,-70.73651429206984,0.8481571084486791
38,-70.5049794539284,0.8449432577549069
39,-70.27344461578696,0.8417142276331394
40,-70.0419097776455,0.8384696730439765
41,-69.81037493950406,0.8352092489480173
42,-69.57884010136262,0.8319326103058612
43,-69.34730526322117,0.8286394120781078
44,-69.11577042507973,0.8253293092253563
45,-68.88423558693827,0.8220019567082057
46,-68.65270074879683,0.8186570094872562
47,-68.42116591065539,0.8152941225231066
48,-68.18963107251395,0.8119129507763565
49,-67.9580962343725,0.8085131517783719
50,-67.72656139623106,0.8050950870813064
51,-67.49502655808962,0.8016607753753348
52,-67.26349171994816,0.79821247360014
53,-67.03195688180672,0.7947524386954065
54,-66.80042204366528,0.7912829276008172
55,-66.56888720552384,0.7878061972560559
56,-66.3373523673824,0.7843245046008062
57,-66.10581752924094,0.7808401065747509
58,-65.8742826910995,0.7773552601175746
59,-65.64274785295805,0.7738722221689603
60,-65.41121301481661,0.7703932496685917
61,-65.17967817667517,0.7669205995561522
62,-64.94814333853373,0.7634565287713255
63,-64.71660850039228,0.760003294253795
64,-64.48507366225083,0.7565631529432438
65,-64.25353882410938,0.7531383617793564
66,-64.02200398596794,0.7497311777018159
67,-63.7904691478265,0.746343456986073
68,-63.55893430968506,0.7429749213634335
69,-63.32739947154361,0.7396245845656357
70,-63.095864633402165,0.7362914598603949
71,-62.864329795260716,0.7329745605154241
72,-62.63279495711927,0.7296728997984383
73,-62.40126011897783,0.7263854909771519
74,-62.16972528083639,0.7231113473192791
75,-61.93819044269494,0.7198494820925337
76,-61.7066556045535,0.7165989085646306
77,-61.47512076641205,0.7133586400032838
78,-61.243585928270605,0.7101276896762078
79,-61.01205109012916,0.7069050708511166
80,-60.78051625198772,0.7036897967957247
81,-60.54898141384627,0.7004808807777463
82,-60.31744657570483,0.6972773360648958
83,-60.08591173756338,0.6940781759248874
84,-59.854376899421936,0.6908824764968226
85,-59.622842061280494,0.6876901547092252
86,-59.39130722313905,0.6845017271410212
87,-59.1597723849976,0.6813177232809424
88,-58.92823754685616,0.6781386726177214
89,-58.69670270871471,0.6749651046400899
90,-58.46516787057327,0.6717975488367802
91,-58.233633032431825,0.6686365346965251
92,-58.00209819429038,0.6654825917080557
93,-57.770563356148934,0.662336249360105
94,-57.53902851800749,0.6591980371414053
95,-57.30749367986604,0.6560684845406879
96,-57.0759588417246,0.6529481210466859
97,-56.84442400358316,0.649837476148131
98,-56.612889165441715,0.6467370793337556
99,-56.381354327300265,0.6436474600922915
100,-56.14981948915882,0.6405691479124713
101,-55.91828465101737,0.6375026737313064
102,-55.68674981287593,0.6344486442786654
103,-55.45521497473449,0.6314077777879576
104,-55.223680136593046,0.6283808014183783
105,-54.9921452984516,0.6253684423291224
106,-54.760610460310154,0.6223714276793849
107,-54.529075622168705,0.6193904846283611
108,-54.29754078402726,0.6164263403352456
109,-54.06600594588582,0.6134797219592336
110,-53.83447110774438,0.6105513566595203
111,-53.60293626960293,0.6076419715953002
112,-53.371401431461486,0.6047522939257689
113,-53.139866593320036,0.601883050810121
114,-52.908331755178594,0.5990349694075515
115,-52.67679691703715,0.5962087768772558
116,-52.44526207889571,0.5934052003784287
117,-52.21372724075426,0.5906249670702649
118,-51.98219240261282,0.587868804028349
119,-51.75065756447137,0.5851372091344111
120,-51.519122726329925,0.5824299514246737
121,-51.28758788818848,0.5797466553823015
122,-51.05605305004704,0.5770869454904594
123,-50.82451821190559,0.5744504462323125
124,-50.59298337376415,0.5718367820910254
125,-50.3614485356227,0.5692455775497635
126,-50.12991369748126,0.5666764570916915
127,-49.898378859339815,0.5641290451999744
128,-49.66684402119837,0.5616029663577771
129,-49.43530918305692,0.5590978450482647
130,-49.20377434491548,0.556613305754602
131,-48.97223950677403,0.554148972959954
132,-48.74070466863259,0.5517044711474858
133,-48.509169830491146,0.5492794248003622
134,-48.277634992349704,0.5468734584017482
135,-48.046100154208254,0.5444861964348086
136,-47.81456531606681,0.5421172679082882
137,-47.58303047792536,0.5397663351820304
138,-47.35149563978392,0.5374330755265522
139,-47.11996080164248,0.5351171662819049
